date_reg,type,maker,model,colour,fuel,state
2025-01-01,motokar,BYD,SEAL,white,electric,Rakan Niaga
2025-01-01,window_van,CAM,PLACER-X,yellow,greendiesel,Johor
2025-01-01,jip,CHERY,JAECOO J7,green,petrol,Rakan Niaga
2025-01-01,jip,CHERY,JAECOO J7,silver,petrol,Rakan Niaga
2025-01-01,jip,CHERY,TIGGO,grey,petrol,Rakan Niaga
2025-01-01,motokar,DONG FENG,BOX E3,purple,electric,Rakan Niaga
2025-01-01,motokar,DONG FENG,BOX E3,white,electric,Rakan Niaga
2025-01-01,pick_up,FORD,RANGER,black,greendiesel,Rakan Niaga
2025-01-01,pick_up,FORD,RANGER,white,greendiesel,Johor
2025-01-01,pick_up,FORD,RANGER,white,petrol,Johor
2025-01-01,jip,GREAT WALL,HAVAL H6,green,hybrid_petrol,Rakan Niaga
2025-01-01,jip,GREAT WALL,HAVAL H6,silver,hybrid_petrol,Rakan Niaga
2025-01-01,jip,GREAT WALL,HAVAL H6,white,hybrid_petrol,Rakan Niaga
2025-01-01,motokar,GREAT WALL,ORA,green,electric,Johor
2025-01-01,motokar,HONDA,CITY,grey,petrol,Johor
2025-01-01,window_van,HONDA,N-BOX,grey,petrol,Johor
2025-01-01,window_van,HONDA,STEPWGN,white,petrol,Johor
2025-01-01,motokar,HONDA,WR-V,grey,petrol,Rakan Niaga
2025-01-01,jip,JEEP,WRANGLER,grey,petrol,Johor
2025-01-01,jip,LEXUS,RX,black,petrol,Johor
2025-01-01,jip,LEXUS,RX,white,petrol,Johor
2025-01-01,jip,LEXUS,RX,white,petrol,Rakan Niaga
2025-01-01,jip,MG,MG HS,black,petrol,Kedah
2025-01-01,motokar,MG,MG4,white,electric,Rakan Niaga
2025-01-01,motokar,MG,MG5,grey,petrol,Rakan Niaga
2025-01-01,motokar,MERCEDES BENZ,C-CLASS,black,hybrid_petrol,Rakan Niaga
2025-01-01,motokar,MERCEDES BENZ,E-CLASS,white,hybrid_petrol,Rakan Niaga
2025-01-01,pick_up,MITSUBISHI,TRITON,grey,greendiesel,Rakan Niaga
2025-01-01,motokar_pelbagai_utiliti,MITSUBISHI,XPANDER,black,petrol,Rakan Niaga
2025-01-01,motokar_pelbagai_utiliti,MITSUBISHI,XPANDER,white,petrol,Rakan Niaga
2025-01-01,motokar_pelbagai_utiliti,MITSUBISHI,XPANDER,grey,petrol,Rakan Niaga
2025-01-01,motokar,NISSAN,ALMERA,black,petrol,Rakan Niaga
2025-01-01,pick_up,NISSAN,NAVARA,grey,greendiesel,Johor
2025-01-01,window_van,NISSAN,SERENA,grey,petrol,Rakan Niaga
2025-01-01,motokar_pelbagai_utiliti,PERODUA,ALZA,brown,petrol,Rakan Niaga
2025-01-01,motokar_pelbagai_utiliti,PERODUA,ALZA,red,petrol,Kelantan
2025-01-01,motokar,PERODUA,AXIA,grey,petrol,Rakan Niaga
2025-01-01,motokar,PERODUA,BEZZA,silver,petrol,Rakan Niaga
2025-01-01,motokar,PERODUA,BEZZA,grey,petrol,Rakan Niaga
2025-01-01,motokar,PERODUA,BEZZA,silver,petrol,Johor
2025-01-01,motokar,PERODUA,MYVI,white,petrol,Rakan Niaga
2025-01-01,motokar,PERODUA,MYVI,grey,petrol,Rakan Niaga
2025-01-01,motokar,PORSCHE,911 CARRERA,grey,petrol,Johor
2025-01-01,jip,PORSCHE,MACAN,white,petrol,Johor
2025-01-01,motokar,PROTON,IRIZ,silver,petrol,Terengganu
2025-01-01,motokar,PROTON,PERSONA,grey,petrol,Rakan Niaga
2025-01-01,motokar,PROTON,SAGA,grey,petrol,Rakan Niaga
2025-01-01,jip,ROLLS ROYCE,CULLINAN,white,petrol,Johor
2025-01-01,window_van,TOYOTA,ALPHARD,black,petrol,Johor
2025-01-01,window_van,TOYOTA,ALPHARD,white,petrol,Kedah
2025-01-01,window_van,TOYOTA,ALPHARD,white,petrol,Johor
2025-01-01,window_van,TOYOTA,ALPHARD,white,petrol,Rakan Niaga
2025-01-01,motokar,TOYOTA,COROLLA ALTIS,white,petrol,Rakan Niaga
2025-01-01,jip,TOYOTA,COROLLA CROSS,white,petrol,Rakan Niaga
2025-01-01,jip,TOYOTA,HARRIER,black,petrol,Kelantan
2025-01-01,jip,TOYOTA,HARRIER,black,petrol,Johor
2025-01-01,jip,TOYOTA,HARRIER,white,petrol,Kedah
2025-01-01,jip,TOYOTA,HARRIER,black,petrol,Rakan Niaga
2025-01-01,pick_up,TOYOTA,HILUX,black,greendiesel,Johor
2025-01-01,pick_up,TOYOTA,HILUX,silver,greendiesel,Kedah
2025-01-01,pick_up,TOYOTA,HILUX,black,greendiesel,Kedah
2025-01-01,pick_up,TOYOTA,HILUX,brown,greendiesel,Kedah
2025-01-01,pick_up,TOYOTA,HILUX,silver,greendiesel,Johor
2025-01-01,jip,TOYOTA,LAND CRUISER,black,petrol,Johor
2025-01-01,jip,TOYOTA,LAND CRUISER PRADO,white,diesel,Johor
2025-01-01,window_van,TOYOTA,VELLFIRE,white,petrol,Johor
2025-01-01,motokar,TOYOTA,VIOS,white,petrol,Rakan Niaga
2025-01-02,motokar,BMW,2 SERIES,blue,petrol,Rakan Niaga
2025-01-02,motokar,BMW,3 SERIES,grey,petrol,Rakan Niaga
2025-01-02,motokar,BMW,3 SERIES,grey,petrol,Kedah
2025-01-02,motokar,BMW,3 SERIES,blue,petrol,Johor
2025-01-02,motokar,BMW,7 SERIES,grey,hybrid_petrol,W.P. Kuala Lumpur
2025-01-02,motokar,BMW,7 SERIES,black,hybrid_petrol,W.P. Kuala Lumpur
2025-01-02,jip,BMW,X7,grey,petrol,Melaka
2025-01-02,jip,BMW,X7,black,petrol,W.P. Kuala Lumpur
2025-01-02,motokar,BMW,I5,black,electric,Rakan Niaga
2025-01-02,jip,BMW,IX,grey,electric,W.P. Kuala Lumpur
2025-01-02,jip,BMW,IX3,white,electric,W.P. Kuala Lumpur
2025-01-02,motokar_pelbagai_utiliti,BYD,M6,grey,electric,Rakan Niaga
2025-01-02,jip,BYD,SEALION,grey,electric,Rakan Niaga
2025-01-02,jip,BYD,SEALION,black,electric,Rakan Niaga
2025-01-02,window_van,CAM,KINGO,white,greendiesel,Sabah
2025-01-02,jip,CHERY,JAECOO J7,white,petrol,Rakan Niaga
2025-01-02,jip,CHERY,JAECOO J7,black,petrol,Rakan Niaga
2025-01-02,jip,CHERY,JAECOO J7,green,petrol,Rakan Niaga
2025-01-02,jip,CHERY,JAECOO J7,white,petrol,Pulau Pinang
2025-01-02,jip,CHERY,JAECOO J7,green,petrol,W.P. Kuala Lumpur
2025-01-02,jip,CHERY,JAECOO J7,silver,petrol,W.P. Kuala Lumpur
2025-01-02,jip,CHERY,JAECOO J7,white,petrol,Negeri Sembilan
2025-01-02,jip,CHERY,JAECOO J7,silver,petrol,Rakan Niaga
2025-01-02,jip,CHERY,JAECOO J7,green,petrol,Pulau Pinang
2025-01-02,jip,CHERY,JAECOO J7,black,petrol,Pulau Pinang
2025-01-02,jip,CHERY,JAECOO J7,black,petrol,Sarawak
2025-01-02,jip,CHERY,JAECOO J7,black,petrol,W.P. Kuala Lumpur
2025-01-02,jip,CHERY,JAECOO J7,black,hybrid_petrol,W.P. Kuala Lumpur
2025-01-02,jip,CHERY,OMODA 5,black,petrol,W.P. Kuala Lumpur
2025-01-02,jip,CHERY,OMODA 5,black,petrol,Rakan Niaga
